Symbol,Exchange,City,Country,TimeZone,Mo,Tu,We,Th,Fr,Sa,Su,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25
Budapest SE,Budapest Stock Market,Budapest,Hungary,Central European Standard Time,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00, ,,4/13/2020,4/30/2020,5/1/2020,6/25/2020, , , , , , , , , , , ,,,,,,,,,,
Karachi 100,Karachi Stock Exchange,Karachi,Pakistan,Pakistan Standard Time,09:30-15:30,09:30-18:30,09:30-18:30,09:30-18:30,09:30-18:30, ,,8/14/2020,8/29/2020,8/30/2020,10/30/2020,12/25/2020, , , ,,,,,,,,,,,,,,,,,
HNX 30,Hanoi Stock Exchange,Hanoi,Vietnam,SE Asia Standard Time,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00, ,,9/2/2019, , , , , , , , , , ,,,,,,,,,,,,,,
Taiwan Weighted,Taiwan Stock Exchange,Taipei,Taiwan,China Standard Time,09:30-18:30,09:00-13:30,09:00-13:30,09:00-13:30,09:00-13:30, ,,10/1/2020,10/2/2020,10/9/2020,10/10/2020, , , , , , , , , , , , , , , ,,,,,,
S&P/ASX 200,Australian Stock Exchange,Sydney, Australia,AUS Eastern Standard Time,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00, ,,12/24/2020,12/25/2018,12/28/2020,12/31/2020, , , , , , ,,,,,,,,,,,,,,,
Nikkei 225,Tokyo Stock Exchange,Tokyo,Japan,Tokyo Standard Time,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00, ,,8/10/2020,9/21/2020,9/22/2020,11/3/2020,11/23/2020,12/31/2020, , , , , , , , , , , , , , ,,,,,
China A50,Shanghai Stock Exchange,Shanghai,China,China Standard Time,09:15-15:00,09:15-15:00,09:15-15:00,09:15-15:00,09:15-15:00, ,,10/1/2020,10/2/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020, , , , , , , , , ,,,,,,,,,,
Shanghai,Shanghai Stock Exchange,Shanghai,China,China Standard Time,09:30-15:00,09:15-15:00,09:15-15:00,09:15-15:00,09:15-15:00, ,,10/1/2020,10/2/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020, , , , , , , , , ,,,,,,,,,,
PSEi Composite,Phillipine Stock Exchange,Manila,Phillipines,China Standard Time,09:30-15:30,09:30-15:30,09:30-15:30,09:30-15:30,09:30-15:30, ,,8/21/2020,8/31/2020,10/1/2020,10/2/2020,10/30/2020,12/8/2020,12/24/2020,12/25/2020,12/30/2020,12/31/2020, , , , , , , , , , ,,,,,
DJ Shanghai,Shanghai Stock Exchange,Shanghai,China,China Standard Time,09:30-15:00,09:15-15:00,09:15-15:00,09:15-15:00,09:15-15:00, ,,8/10/2020,9/21/2020,9/22/2020,11/3/2020,11/23/2020,12/31/2020, , , , , , , , , , ,,,,,,,,,
Hang Seng,Hong Kong Exchange,Hong Kong,China,China Standard Time,9:30-16:00,9:30-16:00,9:30-16:00,9:30-16:00,9:30-16:00, ,,10/1/2020,10/2/2020,10/26/2020,12/24/2020,12/25/2020,12/31/2020, , , , , , , , , , , ,,,,,,,,
SZSE Component,Shenzhen Stock Exchange,Shenzhen,China,China Standard Time,09:30-15:00,09:30-15:00,09:30-15:00,09:30-15:00,09:30-15:00, ,,10/1/2020,10/2/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020, , , , , , , , , , , ,,,,,,,,
KOSPI,Korea Exchange (KRX),Seoul,Korea,Korea Standard Time,09:00-15:30,09:00-15:30,09:00-15:30,09:00-15:30,09:00-15:30, ,,9/30/2020,10/1/2020,10/2/2020,10/9/2020,12/25/2020,12/31/2020, , , , , , ,,,,,,,,,,,,,
IDX Composite,Jakarta/Indonesia Stock Exchange (JSX),Jakarta,Indonesia,SE Asia Standard Time,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00, ,,8/17/2020,8/20/2020,10/29/2020,12/24/2020,12/25/2020,12/31/2020,,,,,,,,,,,,,,,,,,,
Nifty 50,National Stock Exchange of India,Mubai,India,India Standard Time,9:15-15:30,9:15-15:30,9:15-15:30,9:15-15:30,9:15-15:30, ,,10/2/2020,11/16/2020,11/30/2020,12/25/2020,,,,,,,,,,,,,,,,,,,,,
SET,Stock Exchange of Thailand,Bangkok,Thailand,SE Asia Standard Time,10:00-16:30,10:00-16:30,10:00-16:30,10:00-16:30,10:00-16:30, ,,10/13/2020,10/23/2020,12/7/2020,12/10/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,
BSE Sensex,Bombay Stock Exchange (BSE),Mubai,India,India Standard Time,9:15-15:30,9:15-15:30,9:15-15:30,9:15-15:30,9:15-15:30, ,,10/2/2020,11/16/2020,11/30/2020,12/25/2020, , , , , , , , , , , , , ,,,,,,,,
Tadawul All Share,Saudi Stock Exchange,Riyadh,Saudi Arabia,Arab Standard Time,10:00-15:00,10:00-15:00,10:00-15:00,10:00-15:00, ,,10:00-15:00,9/23/2020,,,,,,,,,,,,,,,,,,,,,,,,
BIST 100,Istanbul Stock Market,Istanbul,Turkey,Turkey Standard Time,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00, , ,10/28/2020,10/29/2020,,,,,,,,,,,,,,,,,,,,,,,
TA 35,Tel Aviv Stock Exchange ,Tel Aviv,Israel,Israel Standard Time,09:00-17:25,09:00-17:25,09:00-17:25,09:00-17:25, , ,09:45-16:15, ,,,,,,,,,,,,,,,,,,,,,,,,
MOEX,Moscow Exchange,Moscow,Russia,Russian Standard Time,09:30-19:00,09:30-19:00,09:30-19:00,09:30-19:00,09:30-19:00, ,,11/4/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,
RTSI,Moscow Exchange,Moscow,Russia,Russian Standard Time,09:30-19:00,09:30-19:00,09:30-19:00,09:30-19:00,09:30-19:00, ,,11/4/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,
